itemCollection_systemStores_Vehicleparts_Ives_Heavy,,,
itemCollection_systemStores_Vehicleparts_Davion_Heavy,Reference,1,5
vehicledef_PO,MechPart,1,1
vehicledef_CARRIER_AC2,MechPart,1,3
vehicledef_BULLDOG_AC2,MechPart,1,5
vehicledef_CARRIER_LASER,MechPart,1,3
vehicledef_BULLDOG,MechPart,1,10
vehicledef_BULLDOG,MechPart,1,8
vehicledef_PIKE,MechPart,1,3
vehicledef_PIKE_AC5,MechPart,1,1
vehicledef_BRUTUS_PPC,MechPart,1,2
vehicledef_BULLDOG_LRM,MechPart,1,4
vehicledef_BRUTUS,MechPart,1,3
vehicledef_CARRIER_SRM,MechPart,1,10
vehicledef_CARRIER_SRM,MechPart,1,8
vehicledef_CARRIER_LRM,MechPart,1,10
vehicledef_CARRIER_LRM,MechPart,1,8
vehicledef_BRUTUS_LRM,MechPart,1,1
vehicledef_MANTICORE,MechPart,1,10
vehicledef_MANTICORE,MechPart,1,4
